keyword,category
Apparition,Spells
boat,Boats
broom,Broomsticks
broomstick,Broomsticks
bus,Knight Bus
Centaur,Fantastic creatures
dragon,Fantastic creatures
Firebolt,Broomsticks
Floo Powder,Magical objects
flying car,Weasleys’ car
Flying carpet,Magical objects
Flying Ford Anglia,Weasleys’ car
Hippogriff,Fantastic creatures
Hogwarts Express,Hogwarts Express
motorcycle,Hagrid’s flying motorcycle
Nimbus,Broomsticks
Phoenix,Fantastic creatures
Portkey,Magical objects
ship,Boats
Teleportation,Spells
Thestral,Fantastic creatures
train,Hogwarts Express
Vanishing cabinet,Magical objects
Weasleys’ car,Weasleys’ car
